task	model	srho_mean	srho_sd	srho_min	2021_dataset	2022_dataset	2020_dataset	dim_red	n_modalities	feature_set
task_11	baseline	0.539	0.137	0.442	0.635	0.442	NA	none	1	baseline
task_11	elnet	-0.457	0.104	-0.531	-0.531	-0.384	NA	none	1	metadata
task_11	lasso	-0.457	0.104	-0.531	-0.531	-0.384	NA	none	1	metadata
task_11	rf	-0.299	0.004	-0.302	-0.302	-0.296	NA	none	1	metadata
task_11	rf+boruta	-0.339	NA	-0.339	NA	-0.339	NA	none	1	metadata
task_11	elnet	0.539	0.137	0.442	0.635	0.442	NA	none	2	metadata+baseline
task_11	lasso	0.539	0.137	0.442	0.635	0.442	NA	none	2	metadata+baseline
task_11	rf	-0.385	0.155	-0.495	-0.495	-0.275	NA	none	2	metadata+baseline
task_11	rf+boruta	-0.364	NA	-0.364	NA	-0.364	NA	none	2	metadata+baseline
task_11	elnet	0.201	0.341	-0.04	-0.04	0.442	NA	none	3	pbmc_cell_frequency+metadata+baseline
task_11	lasso	0.201	0.341	-0.04	-0.04	0.442	NA	none	3	pbmc_cell_frequency+metadata+baseline
task_11	rf	-0.422	0.018	-0.435	-0.409	-0.435	NA	none	3	pbmc_cell_frequency+metadata+baseline
task_11	rf+boruta	-0.311	0.132	-0.405	-0.405	-0.218	NA	none	3	pbmc_cell_frequency+metadata+baseline
task_11	elnet	-0.237	0.196	-0.376	-0.099	-0.376	NA	none	4	pbmc_cell_frequency+pbmc_gene_expression+metadata+baseline
task_11	lasso	-0.12	0.362	-0.376	0.135	-0.376	NA	none	4	pbmc_cell_frequency+pbmc_gene_expression+metadata+baseline
task_11	rf	0.193	0.129	0.102	0.284	0.102	NA	none	4	pbmc_cell_frequency+pbmc_gene_expression+metadata+baseline
task_11	rf+boruta	0.362	0.447	0.046	0.046	0.678	NA	none	4	pbmc_cell_frequency+pbmc_gene_expression+metadata+baseline
task_11	elnet	-0.237	0.196	-0.376	-0.099	-0.376	NA	none	5	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+metadata+baseline
task_11	lasso	-0.134	0.342	-0.376	0.108	-0.376	NA	none	5	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+metadata+baseline
task_11	rf	0.225	0.001	0.224	0.224	0.226	NA	none	5	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+metadata+baseline
task_11	rf+boruta	0.214	0.264	0.027	0.027	0.4	NA	none	5	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+metadata+baseline
task_11	elnet	-0.237	0.196	-0.376	-0.099	-0.376	NA	none	6	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+metadata+baseline
task_11	lasso	-0.14	0.334	-0.376	0.096	-0.376	NA	none	6	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+metadata+baseline
task_11	rf	0.101	0.085	0.041	0.161	0.041	NA	none	6	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+metadata+baseline
task_11	rf+boruta	0.059	0.248	-0.116	-0.116	0.235	NA	none	6	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+metadata+baseline
task_11	elnet	-0.26	0.228	-0.421	-0.099	-0.421	NA	none	7	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+metadata+baseline
task_11	lasso	-0.243	0.188	-0.376	-0.11	-0.376	NA	none	7	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+metadata+baseline
task_11	rf	0.096	0.123	0.009	0.183	0.009	NA	none	7	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+metadata+baseline
task_11	rf+boruta	0.424	0.05	0.388	0.459	0.388	NA	none	7	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+metadata+baseline
task_11	elnet	-0.26	0.228	-0.421	-0.099	-0.421	NA	none	8	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+t_cell_activation+metadata+baseline
task_11	lasso	-0.243	0.188	-0.376	-0.11	-0.376	NA	none	8	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+t_cell_activation+metadata+baseline
task_11	rf	0.24	0.178	0.114	0.366	0.114	NA	none	8	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+t_cell_activation+metadata+baseline
task_11	rf+boruta	0.329	0.155	0.22	0.439	0.22	NA	none	8	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+t_cell_activation+metadata+baseline
task_11	elnet	-0.052	0.006	-0.056	-0.048	-0.056	NA	none	9	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+t_cell_activation+t_cell_polarization+metadata+baseline
task_11	lasso	-0.119	0.007	-0.125	-0.114	-0.125	NA	none	9	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+t_cell_activation+t_cell_polarization+metadata+baseline
task_11	rf	0.029	0.073	-0.023	0.08	-0.023	NA	none	9	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+t_cell_activation+t_cell_polarization+metadata+baseline
task_11	rf+boruta	-0.28	0.341	-0.521	-0.038	-0.521	NA	none	9	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+t_cell_activation+t_cell_polarization+metadata+baseline
