task	model	srho_mean	srho_sd	srho_min	2021_dataset	2022_dataset	2020_dataset	dim_red	n_modalities	feature_set
task_11	baseline	0.521	0.112	0.442	0.6	0.442	NA	none	1	baseline
task_11	elnet	-0.464	0.114	-0.544	-0.544	-0.384	NA	none	1	metadata
task_11	lasso	-0.464	0.114	-0.544	-0.544	-0.384	NA	none	1	metadata
task_11	rf	-0.274	0.052	-0.311	-0.237	-0.311	NA	none	1	metadata
task_11	elnet	0.521	0.112	0.442	0.6	0.442	NA	none	2	metadata+baseline
task_11	lasso	0.521	0.112	0.442	0.6	0.442	NA	none	2	metadata+baseline
task_11	rf	-0.368	0.151	-0.474	-0.474	-0.261	NA	none	2	metadata+baseline
task_11	elnet	0.184	0.365	-0.074	-0.074	0.442	NA	none	3	pbmc_cell_frequency+metadata+baseline
task_11	lasso	0.184	0.365	-0.074	-0.074	0.442	NA	none	3	pbmc_cell_frequency+metadata+baseline
task_11	rf	-0.512	0.007	-0.517	-0.517	-0.507	NA	none	3	pbmc_cell_frequency+metadata+baseline
task_11	elnet	-0.249	0.171	-0.37	-0.128	-0.37	NA	none	4	pbmc_cell_frequency+pbmc_gene_expression+metadata+baseline
task_11	lasso	-0.132	0.362	-0.388	0.124	-0.388	NA	none	4	pbmc_cell_frequency+pbmc_gene_expression+metadata+baseline
task_11	rf	0.086	0.062	0.042	0.13	0.042	NA	none	4	pbmc_cell_frequency+pbmc_gene_expression+metadata+baseline
task_11	elnet	-0.253	0.177	-0.377	-0.128	-0.377	NA	none	5	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+metadata+baseline
task_11	lasso	-0.139	0.352	-0.388	0.11	-0.388	NA	none	5	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+metadata+baseline
task_11	rf	0.187	0.205	0.042	0.332	0.042	NA	none	5	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+metadata+baseline
task_11	elnet	-0.253	0.177	-0.377	-0.128	-0.377	NA	none	6	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+metadata+baseline
task_11	lasso	-0.142	0.348	-0.388	0.104	-0.388	NA	none	6	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+metadata+baseline
task_11	rf	-0.02	0.315	-0.242	0.203	-0.242	NA	none	6	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+metadata+baseline
task_11	elnet	-0.277	0.212	-0.427	-0.128	-0.427	NA	none	7	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+metadata+baseline
task_11	lasso	-0.262	0.172	-0.383	-0.14	-0.383	NA	none	7	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+metadata+baseline
task_11	rf	0.151	0.203	0.007	0.007	0.295	NA	none	7	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+metadata+baseline
task_11	elnet	-0.277	0.212	-0.427	-0.128	-0.427	NA	none	8	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+t_cell_activation+metadata+baseline
task_11	lasso	-0.262	0.172	-0.383	-0.14	-0.383	NA	none	8	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+t_cell_activation+metadata+baseline
task_11	rf	0.159	0.013	0.15	0.169	0.15	NA	none	8	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+t_cell_activation+metadata+baseline
task_11	elnet	-0.079	0.008	-0.085	-0.085	-0.074	NA	none	9	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+t_cell_activation+t_cell_polarization+metadata+baseline
