task	model	srho_mean	srho_sd	srho_min	2021_dataset	2022_dataset	dim_red	n_modalities	feature_set
task_11	baseline	0.521	0.112	0.442	0.6	0.442	none	1	baseline
task_11	elnet	-0.433	0.157	-0.544	-0.544	-0.322	none	1	metadata
task_11	lasso	-0.433	0.157	-0.544	-0.544	-0.322	none	1	metadata
task_11	rf	-0.295	0.044	-0.326	-0.326	-0.264	none	1	metadata
task_11	elnet	0.499	0.123	0.412	0.587	0.412	none	2	metadata+baseline
task_11	lasso	0.506	0.133	0.412	0.6	0.412	none	2	metadata+baseline
task_11	rf	-0.352	0.156	-0.462	-0.462	-0.242	none	2	metadata+baseline
task_11	elnet	0.186	0.368	-0.074	-0.074	0.447	none	3	pbmc_cell_frequency+metadata+baseline
task_11	lasso	0.186	0.368	-0.074	-0.074	0.447	none	3	pbmc_cell_frequency+metadata+baseline
task_11	rf	-0.481	0	-0.481	-0.481	-0.481	none	3	pbmc_cell_frequency+metadata+baseline
task_11	elnet	-0.067	0.041	-0.096	-0.038	-0.096	none	4	pbmc_cell_frequency+pbmc_gene_expression+metadata+baseline
task_11	lasso	-0.042	0.168	-0.161	0.077	-0.161	none	4	pbmc_cell_frequency+pbmc_gene_expression+metadata+baseline
task_11	rf	-0.208	0.112	-0.287	-0.128	-0.287	none	4	pbmc_cell_frequency+pbmc_gene_expression+metadata+baseline
task_11	elnet	-0.069	0.043	-0.099	-0.038	-0.099	none	5	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+metadata+baseline
task_11	lasso	-0.143	0.104	-0.217	-0.07	-0.217	none	5	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+metadata+baseline
task_11	rf	-0.077	0.074	-0.129	-0.024	-0.129	none	5	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+metadata+baseline
task_11	elnet	-0.069	0.043	-0.099	-0.038	-0.099	none	6	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+metadata+baseline
task_11	lasso	-0.143	0.104	-0.217	-0.07	-0.217	none	6	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+metadata+baseline
task_11	rf	-0.088	0.035	-0.112	-0.112	-0.063	none	6	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+metadata+baseline
task_11	elnet	-0.114	0.107	-0.189	-0.038	-0.189	none	7	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+metadata+baseline
task_11	lasso	-0.149	0.111	-0.227	-0.07	-0.227	none	7	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+metadata+baseline
task_11	rf	-0.122	0.01	-0.129	-0.115	-0.129	none	7	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+metadata+baseline
task_11	elnet	-0.114	0.107	-0.189	-0.038	-0.189	none	8	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+t_cell_activation+metadata+baseline
task_11	lasso	-0.149	0.111	-0.227	-0.07	-0.227	none	8	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+t_cell_activation+metadata+baseline
task_11	rf	-0.12	0.126	-0.209	-0.03	-0.209	none	8	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+t_cell_activation+metadata+baseline
task_11	elnet	0.045	0.078	-0.011	-0.011	0.1	none	9	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+t_cell_activation+t_cell_polarization+metadata+baseline
task_11	lasso	0.004	0.073	-0.048	-0.048	0.056	none	9	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+t_cell_activation+t_cell_polarization+metadata+baseline
task_11	rf	-0.081	0.02	-0.095	-0.067	-0.095	none	9	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+t_cell_activation+t_cell_polarization+metadata+baseline
task_11	elnet	0.045	0.068	-0.003	-0.003	0.093	none	8	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+t_cell_polarization+metadata+baseline
task_11	lasso	0.004	0.073	-0.048	-0.048	0.056	none	8	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+t_cell_polarization+metadata+baseline
task_11	rf	-0.054	0.098	-0.123	-0.123	0.016	none	8	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+t_cell_polarization+metadata+baseline
task_11	elnet	-0.069	0.043	-0.099	-0.038	-0.099	none	7	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+t_cell_activation+metadata+baseline
task_11	lasso	-0.143	0.104	-0.217	-0.07	-0.217	none	7	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+t_cell_activation+metadata+baseline
task_11	rf	-0.142	0.033	-0.165	-0.118	-0.165	none	7	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+t_cell_activation+metadata+baseline
task_11	elnet	0.062	0.096	-0.006	-0.006	0.13	none	8	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+t_cell_activation+t_cell_polarization+metadata+baseline
task_11	lasso	0.077	0.017	0.065	0.065	0.089	none	8	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+t_cell_activation+t_cell_polarization+metadata+baseline
task_11	rf	-0.127	0.014	-0.137	-0.137	-0.118	none	8	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+t_cell_activation+t_cell_polarization+metadata+baseline
task_11	elnet	0.062	0.096	-0.006	-0.006	0.13	none	7	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+t_cell_polarization+metadata+baseline
task_11	lasso	0.077	0.017	0.065	0.065	0.089	none	7	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+t_cell_polarization+metadata+baseline
task_11	rf	-0.166	0.049	-0.201	-0.201	-0.132	none	7	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+t_cell_polarization+metadata+baseline
task_11	elnet	-0.114	0.107	-0.189	-0.038	-0.189	none	6	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_olink+metadata+baseline
task_11	lasso	-0.149	0.111	-0.227	-0.07	-0.227	none	6	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_olink+metadata+baseline
task_11	rf	-0.126	0.035	-0.15	-0.102	-0.15	none	6	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_olink+metadata+baseline
task_11	elnet	-0.114	0.107	-0.189	-0.038	-0.189	none	7	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_olink+t_cell_activation+metadata+baseline
task_11	lasso	-0.149	0.111	-0.227	-0.07	-0.227	none	7	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_olink+t_cell_activation+metadata+baseline
task_11	rf	-0.059	0.119	-0.143	0.025	-0.143	none	7	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_olink+t_cell_activation+metadata+baseline
